Threshold	0.5
accrued	[0.68788996]
regulations	[0.07290724]
blatant_disregard	[0.28833382]
multiple_generations	[0.18019145]
valiant	[0.22516058]
rewarded	[0.50674181]
thrilled	[0.22956145]
weaponization	[0.07775629]
equal_rights	[0.31659502]
costing_taxpayers	[0.17704743]
biomedical_research	[0.14015951]
fearless	[0.29915664]
national_security_interests	[0.67307552]
170	[0.10277709]
african_ancestry	[0.71987208]
neglect	[0.15375975]
responsibility	[0.17159594]
false_narrative	[0.53434831]
southeastern	[0.07707817]
cassie	[0.34346394]
housing_and_urban_development	[0.03334895]
educators	[0.02977784]
curt	[0.16466119]
wildly	[0.8279629]
derailed	[0.69631926]
personality	[0.31762234]
assembly	[0.12602356]
lake_tahoe	[0.17113991]
contract	[0.06005101]
global_food	[0.09823111]
grower	[0.04508532]
state_park	[0.35777613]
solving_problems	[0.8750246]
killed_or_wounded	[0.62676301]
resumes	[0.43520815]
supplemental_aid	[0.471496]
egc	[0.65333532]
infantryman	[0.43842461]
important_steps	[0.48356341]
servicing	[0.10627709]
technical_college	[0.060696]
social_media	[0.09755397]
pay_increases	[0.60144817]
cemeteries	[0.45975035]
delivering	[0.04845846]
disbursed	[0.17728401]
altar	[0.48149601]
recreational	[0.02274977]
brinkmanship	[0.65764995]
kpi_concepts	[0.33823818]
delegation	[0.06696387]
bald_eagle	[0.18400133]
lasting_contributions	[0.08394503]
thankless	[0.89170419]
threats_facing	[0.33497847]
blow	[0.24093401]
waivers	[0.23457356]
columnist	[0.37344922]
rogue_regimes	[0.15648292]
69	[0.11236864]
cost_effective	[0.32772923]
shipyards	[0.32151456]
great_sense	[0.76291789]
asylum_process	[0.69532181]
fort_worth	[0.11859978]
sapp	[0.60657759]
stark_contrast	[0.49535069]
cut	[0.03594473]
remarkable_contributions	[0.15882658]
edgewood	[0.39494349]
local_civic	[0.08982428]
extraneous_material_immediately_prior_to	[0.49746892]
petroleum	[0.05797632]
simple_and_straightforward	[0.8130966]
allied	[0.05847631]
progress	[0.12725233]
emboldened	[0.32108841]
boot	[0.48378981]
ball	[0.18165181]
lola	[0.18977286]
gradually	[0.72208609]
festival	[0.06974646]
ray	[0.12987558]
legalized	[0.33950493]
timely_manner	[0.39664721]
radical_leftwing	[0.47839078]
speaks	[0.08852547]
environmental_justice	[0.07398298]
planners	[0.3352102]
waterford	[0.29241221]
cbs_news	[0.22012333]
toxic_exposure	[0.27360471]
revere	[0.84520137]
mexicans	[0.26310018]
transitional	[0.26235311]
toddler	[0.64017757]
hale	[0.17783635]
sometimes	[0.34969141]
naked	[0.75296772]
kids	[0.05708151]
boxes	[0.20705699]
gaines	[0.20275721]
musical	[0.03547282]
obscene	[0.48372437]
shelves	[0.10602129]
pled_guilty	[0.42541281]
pioneered	[0.37013397]
enemy	[0.13890003]
president_pro_tempore	[0.37373715]
canada	[0.05607258]
whereby	[0.16020554]
women_and_girls	[0.13086169]
jcpoa	[0.63498896]
utilizing	[0.04574335]
projection	[0.19896707]
bowser	[0.62078348]
elegance	[0.44227477]
prospect	[0.27497769]
harding	[0.11027423]
temporarily	[0.23404594]
salvador	[0.30847816]
resisting	[0.82845329]
missionary_baptist_church	[0.23957392]
noncompete_agreements	[0.47610409]
us	[0.19313272]
john_kerry	[0.66181997]
grand_jury	[0.13610164]
deed	[0.22378172]
cybersecurity_experts	[0.11291371]
48	[0.05969995]
food_assistance	[0.13713933]
recognizes	[0.057953]
agriculture	[0.00129697]
grief	[0.43850868]
lessons_learned	[0.38680154]
phenomenal	[0.18841162]
surface_warfare	[0.50912581]
licensing	[0.10681144]
stimulate	[0.05824601]
resides	[0.26709089]
oversight_and_accountability_committee	[0.48120361]
respectful	[0.57442777]
extremism	[0.14817404]
emergency_medical	[0.33342386]
portal	[0.13141653]
working_families	[0.11323784]
overwhelming	[0.22189928]
engineers	[0.06698306]
gabriel	[0.14147523]
conservation_efforts	[0.08244658]
technical_assistance	[0.08069651]
columbia_river	[0.12612834]
unequivocally	[0.32009936]
civil_liberties	[0.27025148]
foxx	[0.14808435]
situations	[0.44164951]
arab	[0.16638342]
political_parties	[0.83960116]
diagnostic	[0.37974124]
vandalism	[0.49467223]
santa_maria	[0.15894032]
fought_antilynching	[0.83705187]
senselessly	[0.74923606]
devout	[0.19671003]
missiles	[0.11537724]
lawyer	[0.24799698]
civil_air_patrol	[0.15989781]
illegally_cross	[0.5856322]
witnessed_firsthand	[0.43422411]
unlikely	[0.45841816]
installing	[0.21565347]
exert	[0.59851182]
remarkable_woman	[0.71363736]
revived	[0.34061592]
mahsa_amini	[0.26739509]
allies_and_partners	[0.41542411]
gotten	[0.61254815]
caseworkers	[0.51280379]
deteriorate	[0.56928116]
assessing	[0.25237443]
202	[0.0515425]
viewers	[0.32536906]
level	[0.0301222]
histories	[0.62893057]
johnnie	[0.22056674]
pitch	[0.52946669]
upward	[0.08399669]
million_fewer	[0.49239765]
stew	[0.20481211]
baseless	[0.28525827]
cris	[0.25891803]
disciplined	[0.78622035]
intention	[0.10531463]
bishop	[0.07381419]
equal_pay	[0.42527142]
cuellar	[0.17486476]
tps	[0.61040068]
primary_healthcare	[0.57722985]
plummeted	[0.51186387]
italian_american	[0.49628374]
bipartisan_cr	[0.83025864]
clubhouse	[0.55632269]
common_defense	[0.27703561]
semiconductor	[0.09578418]
prohibitions	[0.14104312]
roundtable	[0.19839676]
nader	[0.41283788]
arguably	[0.17873708]
immense_pride	[0.4330267]
require_additional	[0.21788408]
god_forbid	[0.94112753]
duo	[0.12883109]
almond	[0.08613927]
keeps	[0.03915998]
black	[0.06778091]
senior_poverty	[0.75844008]
entire_staff	[0.49590629]
extreme_agenda	[0.66192482]
hopefully	[0.30711577]
nf	[0.13191428]
ulysses	[0.35113583]
landscape	[0.02912082]
soundness	[0.17661059]
13	[0.09690311]
finishing	[0.15094784]
ole	[0.1094251]
willow	[0.11953733]
boasting	[0.29915198]
privileges	[0.17815994]
vertical	[0.36164094]
shontel_brown	[0.67337151]
anglers	[0.197118]
hello	[0.74736212]
maykel	[0.65412239]
sticking	[0.26160513]
restore	[0.07461087]
unsung_hero	[0.1205967]
uzbekistan	[0.16987462]
virtue_signaling	[0.89895929]
winds	[0.10884548]
damn_thing	[0.92774227]
receipts	[0.17587556]
kidney	[0.1803567]
apparatus	[0.20455331]
conferred	[0.50611408]
sabrina	[0.05719357]
specified	[0.12306532]
protect_investors	[0.31913485]
critical_program	[0.46693706]
rural_businesses	[0.16342755]
fritz	[0.28315089]
rescue_department	[0.0629955]
bobby	[0.08834646]
funnel	[0.22382808]
burns	[0.13419612]
uncle_sam	[0.84969719]
unmet	[0.17904778]
forensic	[0.12571898]
assure	[0.21117732]
cam	[0.6215677]
irrigation	[0.03221426]
coast	[0.06759902]
welfare_state	[0.55656854]
accurately	[0.08808067]
locals	[0.16930026]
disregarded	[0.76365777]
numerous_accolades	[0.45254419]
unalienable	[0.6733683]
vest	[0.63954753]
braced	[0.77868551]
miscarriage	[0.29929135]
tommy	[0.08501813]
marketing	[0.05277935]
affirm	[0.25743555]
rags	[0.14384477]
records	[0.0616804]
adoption	[0.04013535]
impartial	[0.34017942]
separated	[0.27091067]
politico	[0.37910584]
egyptian	[0.3585893]
environments	[0.2137448]
confronts	[0.19973695]
review_act	[0.22004979]
involve	[0.17840159]
speaking_truth	[0.77078884]
uc_berkeley	[0.33014296]
spacing	[0.15614155]
beneficial_bigotry	[0.87350156]
ban_books	[0.20022281]
martini	[0.11932481]
northeastern_pennsylvania	[0.40010913]
taste	[0.14698668]
parochial	[0.20924133]
categorical	[0.27501413]
sharply	[0.4727955]
give	[0.12728197]
lyft	[0.5400819]
rachel	[0.06309539]
marco	[0.28022438]
ban_on_assault_weapons	[0.76471154]
largest_economy	[0.53629282]
toe	[0.78390378]
intangible	[0.24397398]
competitive_advantage	[0.52069854]
fee	[0.16376055]
virginia_tech	[0.23121865]
fairy	[0.33555165]
pharmacy	[0.06909721]
debating_today	[0.66734685]
ballots	[0.59593272]
slowed	[0.4705902]
independent	[0.01927088]
canals	[0.17805513]
alleged	[0.14864209]
linking	[0.46469762]
shamefully	[0.66502744]
undercuts	[0.19353159]
sang	[0.64854338]
wuhan	[0.06812434]
individuals	[0.12497415]
teresa	[0.16865021]
incredible_career	[0.54922002]
1979	[0.0617767]
madison	[0.20940524]
angels	[0.31341717]
honor_flight	[0.1249248]
offender	[0.16018938]
advocating	[0.05193306]
mutual	[0.09638239]
pueblo	[0.14687141]
brewing	[0.13570012]
domestic_terrorist	[0.35664855]
doggett	[0.20087941]
possible	[0.1028309]
international_partners	[0.44680629]
proportional	[0.65294849]
nebraska	[0.01192752]
replacement	[0.1773484]
doors_open	[0.23699644]
hardships	[0.1760827]
investigations	[0.08707994]
achievement_award	[0.23970968]
graduating	[0.06811566]
programs_and_services	[0.0423812]
this	[0.10752632]
dissuade	[0.56710067]
alexis	[0.11350892]
footnote	[0.82459077]
arsenal	[0.16828142]
military	[0.01952014]
maker	[0.64835764]
myth	[0.41461466]
alleviate	[0.29717553]
landrieu	[0.17218676]
stations	[0.09800115]
glimpse	[0.57291417]
agendas	[0.43094132]
considered_read	[0.15777975]
115th	[0.15659506]
2024	[0.03746654]
illustrates	[0.26294017]
sufficient	[0.07343608]
singer	[0.3088794]
much	[0.07112504]
untested	[0.1881323]
safeguarded	[0.31012214]
point_of_contact	[0.46007956]
regional_security	[0.1926919]
robotic	[0.26293981]
brown_university	[0.30818713]
burdensome_regulations	[0.14561245]
robbing	[0.34524606]
succeeds	[0.34670233]
75	[0.02724793]
pains	[0.67894013]
state_and_local_government	[0.42439621]
walensky	[0.63246699]
strong_leadership	[0.17009623]
compensated	[0.21168856]
owes	[0.20597792]
chevrolet	[0.23189289]
bow	[0.37047565]
hammer	[0.1681278]
md	[0.32833434]
boat	[0.15240828]
fairness_act	[0.59456422]
infrastructure_investment_and_jobs_act	[0.31299694]
regimes	[0.38526033]
covering	[0.04452759]
altering	[0.64091303]
sigma	[0.2314337]
direct_and_indirect	[0.29396068]
177	[0.48832337]
sentencing	[0.39488425]
impressed	[0.24491478]
afflicted	[0.47248241]
defense_contractors	[0.54362741]
hernandez	[0.21272205]
warmest	[0.59712791]
surrounded	[0.12136136]
cascade	[0.45274914]
stopped	[0.28419531]
shortly	[0.10549816]
medicaid	[0.15518499]
alternate	[0.26592564]
publisher	[0.15375564]
linda	[0.07279961]
centers_for_disease_control	[0.03422976]
24	[0.07975923]
plead	[0.4142595]
peacefully	[0.34555201]
legal_protections	[0.68162061]
en	[0.35436043]
safely	[0.1048464]
warnock	[0.07684868]
travel_policy	[0.42294307]
garamendi	[0.47259233]
derrick	[0.27181086]
confirmation_vote	[0.52632445]
invented	[0.81661419]
substandard	[0.3698919]
enraged	[0.95420501]
ashley	[0.07745186]
dictators_with_rule_of_gun	[0.51830489]
bob_dole	[0.84156815]
devoted_husband_and_father	[0.26067185]
open_invitation	[0.84629075]
retribution	[0.64897042]
exposing	[0.11191372]
evacuation	[0.1593528]
inflation_reduction_act	[0.13640315]
disdain	[0.6541386]
general_manager	[0.04414267]
declaration	[0.3840416]
jurisprudence	[0.22915958]
consul	[0.25240593]
lesser	[0.50163027]
conspiracy_theories	[0.28864944]
populated	[0.29195307]
obsessed	[0.65177947]
disrupting	[0.0876633]
bad_thing	[0.89602278]
exposes	[0.37200201]
includes_language	[0.10950571]
defend_democracy	[0.84936175]
milwaukee	[0.1053568]
amendment_votes	[0.42688391]
habit	[0.77993554]
gerrymandering	[0.90816486]
stack	[0.46418248]
nonprofit	[0.03290567]
grand_canyon	[0.24844285]
welfare_reform	[0.34035689]
incredibly_proud	[0.30672886]
magna_cum_laude	[0.17197872]
pittsburgh	[0.04501766]
bellerose	[0.2506134]
progressive	[0.30955493]
republican_presidential	[0.54037898]
14th_amendment	[0.68829967]
threatened_and_endangered_species	[0.3904165]
execute	[0.2495863]
agency_rulemaking	[0.52752739]
bosworth	[0.13248047]
tenet	[0.66449297]
smoke	[0.06380286]
local_food	[0.06136179]
potential_risks	[0.14495802]
voting_rights_act	[0.497777]
unicef	[0.32914164]
185	[0.26447275]
flight_restrictions	[0.34966255]
brigadier	[0.64752109]
deterrent_act	[0.07397899]
lit	[0.57487779]
repository	[0.10087545]
disparaging	[0.912084]
runner	[0.54532074]
current_and_future_generations	[0.29608288]
diego	[0.3237804]
tony_bennett	[0.54578002]
son	[0.06239474]
john_adams	[0.61859719]
conventions	[0.33686899]
census	[0.0808913]
take	[0.11201754]
urging	[0.07132167]
executive_director	[0.0163134]
arise	[0.72885656]
fourth_quarter	[0.68170088]
set_foot	[0.47087757]
debbie_smith_act	[0.43886878]
appleton	[0.20855205]
prepares	[0.05419802]
roll_call_votes	[0.30859422]
professional_development	[0.14190521]
misplaced	[0.48028277]
plus	[0.19636643]
displacement	[0.39204758]
nsa	[0.56289698]
wait	[0.27628208]
dead_on_arrival	[0.47915203]
dedication_to_public_service	[0.41054396]
legislating	[0.59094446]
seiu	[0.27142914]
saddam	[0.73031403]
regularly	[0.06836624]
wildlife	[0.01371067]
regulatory	[0.10514233]
border_towns	[0.74235902]
barrels_of_oil	[0.49445311]
extraction	[0.09970613]
boyfriend	[0.76084524]
redistribution	[0.67720067]
maureen	[0.27749095]
ap	[0.1132604]
trailblazers	[0.53572144]
placer_county	[0.25959278]
accessibility	[0.04708892]
88	[0.1074315]
entire_nation	[0.08528599]
warhead	[0.2598136]
virulent	[0.80245662]
missed_votes	[0.28511307]
poet	[0.77304478]
fabian	[0.22470063]
bipartisan_ai	[0.55178492]
recusal	[0.54217184]
decried	[0.83815783]
iron	[0.10134615]
dismissing	[0.83092]
burned	[0.18618896]
multiple	[0.07335579]
destabilizing	[0.1887224]
notre_dame	[0.40639472]
escort	[0.20845304]
unavoidably_detained	[0.2990913]
unnoticed	[0.3759698]
singing	[0.11247943]
housing	[0.02421453]
rosaline	[0.65547697]
miners	[0.11262239]
led	[0.0282995]
supplemental_request	[0.53578916]
scarce	[0.27140458]
primary_care	[0.14030237]
authorizing_committees	[0.734886]
placement	[0.03608851]
flight_delays	[0.36123171]
aids	[0.08220364]
nights	[0.4392893]
lacks	[0.2175123]
investors_act	[0.63207153]
ongoing_efforts	[0.17992123]
border_town	[0.46652946]
adult_life	[0.30432802]
atmosphere	[0.09427852]
lng	[0.04948643]
general_aviation	[0.12691029]
resentment	[0.83430157]
mater	[0.51263085]
frost	[0.06331818]
heller	[0.39931238]
proficiency	[0.1799317]
enacted_into_law	[0.38202133]
ambassador_extraordinary_and_plenipotentiary	[0.03856425]
swipe_fees	[0.58218396]
pathway_to_citizenship	[0.4590889]
indemnity	[0.17247435]
windsor	[0.35994386]
occurs	[0.08105682]
kpi	[0.09055161]
nefarious	[0.16062594]
price	[0.08018143]
4394	[0.08014082]
african	[0.18230228]
recklessly	[0.47408246]
grade_school	[0.69097397]
dictators	[0.42571083]
asa	[0.24615881]
divisiveness	[0.87410996]
foreign_assistance	[0.16017879]
gospel_music	[0.72323458]
horrible_things	[0.95776677]
attacked_israel	[0.58081927]
north_atlantic_treaty_organization	[0.23687446]
main_street	[0.03915787]
whoever	[0.41593152]
keeping	[0.04343761]
radm	[0.31683894]
founding_father	[0.54617288]
roll_call_vote	[0.28442255]
rail_industry	[0.80458133]
sovereignty	[0.17779431]
needle	[0.73214903]
graduation_rates	[0.258897]
voluntarily	[0.21873553]
mel	[0.54195311]
held_hostage_by_hamas	[0.43866725]
nationals	[0.20790221]
background	[0.04891784]
withhold	[0.06399916]
intelligence	[0.02911406]
droughts	[0.12671635]
346	[0.46853883]
formalize	[0.24143536]
consequences	[0.08974153]
rural_area	[0.51002999]
lodging	[0.14837574]
transpired	[0.89104139]
enacted_laws	[0.6530738]
radical_policies	[0.51529008]
navigate	[0.25170617]
informative	[0.80001911]
faceless_bureaucrats	[0.66897378]
russell_stover	[0.09576716]
upend	[0.13914262]
stacey	[0.29685272]
rail	[0.0643011]
provide_adequate	[0.35142447]
misguided	[0.17009379]
republic	[0.06296142]
medical_cannabis	[0.3014993]
reproductive_freedom	[0.63858966]
alpha_phi_alpha	[0.31295352]
stare	[0.7162879]
originated	[0.10040571]
notify	[0.07043962]
social_cost	[0.07823722]
involving	[0.07098685]
costing	[0.23629644]
criminals	[0.33538326]
jerome	[0.09478248]
evidence_shows	[0.78924419]
commemoration	[0.12346197]
encourage	[0.08531896]
international_organizations	[0.25250612]
rounded	[0.3996228]
trauma	[0.04333672]
resolution	[0.12701553]
drink	[0.11443804]
july	[0.04159667]
sbics	[0.08760429]
plant	[0.01447238]
fraternal	[0.3237813]
add_insult	[0.49104906]
washing	[0.43765593]
primary_responsibility	[0.66550012]
energy_policy_and_conservation_act	[0.69639112]
commonwealth	[0.03715106]
schoolbus	[0.4112844]
great_britain	[0.73064222]
global_competitiveness	[0.12631648]
unfunded	[0.07745061]
corporate_profits	[0.46086388]
california_state_assembly	[0.72119468]
operations	[0.01407747]
hides	[0.63899983]
cesar_chavez	[0.06712691]
unconscious	[0.80843152]
offshore_drilling	[0.21346506]
voice	[0.05020288]
global_stability	[0.66968416]
investing	[0.05031688]
innovate	[0.02825349]
bethel	[0.39811508]
ossoff	[0.52404576]
dump	[0.1639625]
featuring	[0.06998589]
healthy_kids_act	[0.08386386]
magnitude	[0.17080698]
civil_service	[0.14991909]
aspiring	[0.31316903]
guessing	[0.93924716]
volunteer	[0.07755721]
sea_levels	[0.42830382]
cybersecurity	[0.02548871]
gao_study	[0.16804868]
1960s	[0.23287959]
teach	[0.06452044]
unavoidably	[0.65457328]
darren	[0.29453578]
violent_criminal	[0.80828285]
bek	[0.70796096]
trocaire	[0.33572138]
space_operations	[0.17270563]
culminating	[0.45476063]
bolster	[0.02211214]
greatest_generation	[0.68851628]
injury	[0.06583162]
tupelo	[0.2081481]
federal_aviation_administration	[0.07367128]
extended_family	[0.2470509]
million_illegal_crossings	[0.71676872]
montessori	[0.22205779]
cope	[0.07308541]
national_archives	[0.2318818]
statement_of_administration_policy	[0.19395768]
vice	[0.05168407]
sean	[0.0968396]
mental	[0.12031064]
stealing	[0.13268435]
rural_america	[0.07646174]
kiggans	[0.14566914]
drawdown_of_petroleum	[0.08706261]
66	[0.23063937]
traverse	[0.35362395]
unravel	[0.86986367]
innovators	[0.08252903]
acquiring	[0.08587659]
hra	[0.3627619]
mauritania	[0.65380075]
geography	[0.68162855]
5	[0.14401511]
teetering	[0.35383703]
reimpose	[0.67839077]
land_trust	[0.14599856]
benches	[0.49324549]
national_hispanic	[0.2145447]
spr	[0.16571538]
national_health_service	[0.17742276]
digest	[0.31157101]
detain	[0.52475942]
previous_years	[0.71306434]
study_after_study	[0.42213935]
men	[0.20904487]
freezing	[0.25320898]
problems	[0.25631877]
enhancing	[0.04316879]
capitol_building	[0.82558494]
michelle	[0.05226695]
state_assembly	[0.59276103]
state_of_west_virginia	[0.47819963]
launch	[0.0387819]
wasteful	[0.1382391]
universally	[0.49303627]
gatherings	[0.42114887]
10	[0.06605586]
detected	[0.50470415]
440	[0.25886425]
dinners	[0.54736804]
jihad	[0.50507624]
deluge	[0.65403824]
distribute	[0.19387929]
responded	[0.17618015]
heaven	[0.3743412]
veteran_entrepreneurship_training_act	[0.10035988]
direct_attack	[0.21971129]
program_designed	[0.39512672]
paraguay	[0.1455763]
billet	[0.47064173]
eventually	[0.05715135]
dianne	[0.16706424]
city	[0.02635744]
wood_county	[0.18293604]
obtain	[0.11655682]
credit_card	[0.16862898]
dense	[0.36077478]
philanthropy	[0.06792263]
north_texas	[0.21058378]
nhc	[0.12612738]
accurate_information	[0.30825766]
delta_state_university	[0.15893962]
bottles	[0.5367981]
drives	[0.06935197]
religious	[0.12117558]
rahimi	[0.83683516]
viewpoints	[0.23785141]
disruptive	[0.45767102]
williams	[0.03336872]
rolling	[0.10622168]
waged_war	[0.39216602]
nationalities	[0.7662699]
manage	[0.03742579]
cake	[0.15677091]
authoritarian_regimes	[0.80289359]
workforce	[0.00798038]
disguise	[0.83183423]
entered_private_practice	[0.34590632]
authorizing_committee	[0.55470921]
rockport	[0.15114222]
preserve	[0.03221633]
charles	[0.02973671]
median	[0.23982743]
cleanest	[0.20719617]
significant_role	[0.30024015]
lecturer	[0.1736747]
aside	[0.21006701]
revenues	[0.05415606]
moss	[0.16580364]
limiting	[0.03370587]
goldman_sachs	[0.23662413]
gig	[0.40674406]
depraved	[0.40887627]
inciting	[0.4902346]
celebrates	[0.10884739]
applicable	[0.36042403]
sentinel	[0.36411237]
navigator	[0.11921196]
pharmacies	[0.21858209]
university_of_south_carolina	[0.22165581]
dino	[0.7100612]
conference_process	[0.79461161]
jeopardized	[0.76366122]
feedback	[0.1177524]
jobs	[0.05482807]
speakership	[0.75250711]
economy	[0.01855805]
creeping	[0.56685746]
jewish_faith	[0.79596757]
possesses	[0.28836677]
radar	[0.10536712]
air	[0.03278432]
admiration	[0.22251111]
hate_speech	[0.46765254]
he	[0.05211858]
places_of_worship	[0.52497088]
allowance	[0.14193368]
sustaining	[0.11631386]
prather	[0.27480502]
moms_and_babies	[0.28437828]
benefactor	[0.25045898]
childcare_providers	[0.13860613]
real_growth	[0.51514912]
suffocating	[0.29132823]
alive	[0.19732001]
deal	[0.11512012]
massacred	[0.78359968]
seventh_fleet	[0.43961009]
frequency	[0.20110804]
sworn	[0.48472026]
padding	[0.20194864]
internal_revenue_code	[0.18101591]
mere	[0.58639319]
sailors	[0.16287108]
kremlin	[0.53034111]
passionate_leader	[0.35193664]
internationally_recognized	[0.11921904]
lovingly	[0.45634427]
regulatory_burden	[0.24653354]
hebrew	[0.51881679]
working_diligently	[0.58037381]
drunken	[0.79655391]
economic_impacts	[0.09051316]
myles	[0.18523495]
spreads	[0.38633046]
mandatory_minimum_sentences	[0.60193293]
education_reform	[0.23109988]
thoracic	[0.12535155]
tailor	[0.56401196]
risky	[0.23983408]
underestimate	[0.36800394]
correctional_officer	[0.27169439]
petty_officer	[0.17093431]
henrico_county	[0.44443126]
slap	[0.4852217]
fourth_circuit	[0.57280168]
frankly	[0.72764187]
boys	[0.14010716]
national_security_council	[0.22360089]
129	[0.21252993]
uplifts	[0.28228571]
foreign	[0.04041537]
groves	[0.09655088]
fiction	[0.89001872]
operated	[0.02984686]
additional_resources	[0.10795374]
stark	[0.36774688]
transport	[0.07444845]
frightened	[0.81449243]
jersey	[0.08201896]
stock	[0.08508705]
outstanding_nominee	[0.57301681]
millennium	[0.31510758]
stanford_university	[0.09280307]
countless_contributions	[0.26723128]
asian_americans	[0.26812953]
pay_gap	[0.63102099]
crack	[0.14246674]
convened	[0.28392007]
shipyard	[0.07766543]
clarity	[0.07243496]
folks	[0.16247569]
operative	[0.59374616]
plague	[0.13105589]
rising_tide	[0.80874677]
punishable	[0.58439542]
privately	[0.23331132]
raping	[0.53961924]
evaluations	[0.58223689]
boundless	[0.56802442]
amid	[0.13216824]
1905	[0.37899549]
redefining	[0.52949547]
minutes_of_borrowing	[0.484544]
wing	[0.18957952]
platforms	[0.11586084]
1919	[0.36642377]
protecting_children	[0.18982933]
mooney	[0.03658131]
11th_congressional_district	[0.30799535]
alliances	[0.22147184]
newest	[0.06261692]
serves	[0.01535963]
codify	[0.12160638]
inform	[0.07518098]
ceremonial	[0.37011809]
nina	[0.1618273]
grandsons	[0.63744935]
national_law_enforcement_officers_memorial	[0.61017946]
wreak_havoc	[0.13481485]
overdue	[0.47597565]
providers	[0.2014769]
given	[0.07717514]
disproportionately_affected	[0.71039107]
tate	[0.40992079]
questionable	[0.3738695]
thomas	[0.04038079]
particulate_matter	[0.2168316]
community_college	[0.02977739]
